id,link,bedrooms,bathrooms,area_m2,price,date,condition,location,latitude,longitude
P1753731265_10,https://www.fincaraiz.com.co/casa-en-venta-en-colsag-cucuta/192444305,7,7,340,900.000.000,2025-07-28 14:34:25.011475,Usado,"Colsag, Cúcuta, Norte de santander",7.8890971,-72.4966896
P1753731267_11,https://www.fincaraiz.com.co/casa-en-venta-en-pescadero-colpet-cucuta/11082473,7,6,222,360.000.000,2025-07-28 14:34:27.439572,Usado,"Pescadero colpet, Cúcuta, Norte de santander",7.90966,-72.5041
P1753731269_12,https://www.fincaraiz.com.co/casa-en-venta-en-niza-cucuta/191516600,3,3,130,480.000.000,2025-07-28 14:34:29.598534,Usado,"Niza, Cúcuta, Norte de santander",7.9224344744578,-72.489895820618
P1753731271_13,https://www.fincaraiz.com.co/casa-en-venta-en-ceiba-ii-cucuta/11069808,3,4,210,500.000.000,2025-07-28 14:34:31.503615,Usado,"Ceiba ii, Cúcuta, Norte de santander",7.903254827272,-72.495071547433
P1753731274_14,https://www.fincaraiz.com.co/casa-en-venta-en-cr-villas-de-alcala-a-cucuta/10851632,3,4,115,360.000.000,2025-07-28 14:34:34.325345,Usado,"Cr villas de alcala a, Cúcuta, Norte de santander",7.911939269531,-72.486452884328
P1753731276_15,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/11109796,3,4,147,405.000.000,2025-07-28 14:34:36.523785,Usado,"Cúcuta, Norte de santander",7.912251980934,-72.486323990154
P1753731278_16,https://www.fincaraiz.com.co/casa-en-venta-en-ceiba-ii-cucuta/191633560,4,3,191,290.000.000,2025-07-28 14:34:38.888705,Usado,"Ceiba ii, Cúcuta, Norte de santander",7.905367618699,-72.497070019815
P1753731280_17,https://www.fincaraiz.com.co/casa-en-venta-en-caobos-cucuta/11029032,3,5,460,1.025.000.000,2025-07-28 14:34:40.975263,Usado,"Caobos, Cúcuta, Norte de santander",7.884544007426,-72.494251929454
P1753731283_18,https://www.fincaraiz.com.co/casa-en-venta-en-zona-industrial-comuna-6-cucuta/11082386,3,3,160,270.000.000,2025-07-28 14:34:43.504017,Usado,"Zona industrial comuna 6, Cúcuta, Norte de santander",7.9223707444976,-72.506207700547
P1753731285_19,https://www.fincaraiz.com.co/casa-en-venta-en-las-lomas-i-cucuta/192159782,4,5,240,1.600.000.000,2025-07-28 14:34:45.756884,Usado,"Las lomas i, Cúcuta, Norte de santander",7.8756274187485,-72.4916596412
