id,link,bedrooms,bathrooms,area_m2,price,date,condition,location
P1753033405_11,https://www.fincaraiz.com.co/casa-en-venta-en-el-llano-cucuta/192158897,9 Habs.,5 Baños,310 m²,$ 500.000.000,2025-07-20 12:43:25.947001,Usado,"El llano, Cúcuta, Norte de santander"
P1753033407_12,https://www.fincaraiz.com.co/casa-en-venta-en-trigal-del-norte-cucuta/192159644,3 Habs.,2 Baños,90 m²,$ 135.000.000,2025-07-20 12:43:27.826277,Usado,"Trigal del norte, Cúcuta, Norte de santander"
P1753033409_13,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192213728,4 Habs.,4 Baños,248 m²,$ 1.000.000.000,2025-07-20 12:43:29.758163,Usado,"Cúcuta, Norte de santander"
P1753033411_14,https://www.fincaraiz.com.co/casa-en-venta-en-carora-cucuta/192337009,5 Habs.,4 Baños,202 m²,$ 320.000.000,2025-07-20 12:43:31.843829,Usado,"Carora, Cúcuta, Norte de santander"
P1753033413_15,https://www.fincaraiz.com.co/casa-en-venta-en-libertadores-cucuta/192159201,4 Habs.,4 Baños,146 m²,$ 420.000.000,2025-07-20 12:43:33.968528,Usado,"Libertadores, Cúcuta, Norte de santander"
P1753033415_16,https://www.fincaraiz.com.co/casa-en-venta-en-motilones-cucuta/192159886,5 Habs.,3 Baños,280 m²,$ 1.500.000.000,2025-07-20 12:43:35.835400,Usado,"Motilones, Cúcuta, Norte de santander"
P1753033418_17,https://www.fincaraiz.com.co/casa-en-venta-en-motilones-cucuta/11082139,3 Habs.,3 Baños,262 m²,$ 160.000.000,2025-07-20 12:43:38.423115,Usado,"Motilones, Cúcuta, Norte de santander"
P1753033420_18,https://www.fincaraiz.com.co/casa-en-venta-en-blanco-cucuta/192159662,3 Habs.,3 Baños,300 m²,$ 900.000.000,2025-07-20 12:43:40.362438,Usado,"Blanco, Cúcuta, Norte de santander"
P1753033422_19,https://www.fincaraiz.com.co/casa-en-venta-en-valle-esther-cucuta/11082241,3 Habs.,2 Baños,221 m²,$ 180.000.000,2025-07-20 12:43:42.239996,Usado,"Valle esther, Cúcuta, Norte de santander"
P1753033424_20,https://www.fincaraiz.com.co/casa-en-venta-en-atalaya-cucuta/192158955,6 Habs.,3 Baños,302 m²,$ 380.000.000,2025-07-20 12:43:44.159300,Usado,"Atalaya, Cúcuta, Norte de santander"
P1753033500_0,https://www.fincaraiz.com.co/casa-en-venta-en-cr-palma-real-cucuta/191320265,3 Habs.,4 Baños,200 m²,$ 450.000.000,2025-07-20 12:45:00.732771,Usado,"Cr palma real, Cúcuta, Norte de santander"
P1753033502_1,https://www.fincaraiz.com.co/casa-en-venta-en-la-playa-cucuta/11082230,4 Habs.,4 Baños,143 m²,$ 390.000.000,2025-07-20 12:45:02.393896,Usado,"La playa, Cúcuta, Norte de santander"
P1753033504_2,https://www.fincaraiz.com.co/casa-en-venta-en-centro-cucuta/6143901,10 Habs.,6 Baños,536 m²,$ 1.920.000.000,2025-07-20 12:45:04.144443,Usado,"Centro, Cúcuta, Norte de santander"
P1753033505_3,https://www.fincaraiz.com.co/casa-en-venta-en-colsag-cucuta/10774927,3 Habs.,4 Baños,200 m²,$ 500.000.000,2025-07-20 12:45:05.828742,Usado,"Colsag, Cúcuta, Norte de santander"
P1753033507_4,https://www.fincaraiz.com.co/casa-en-venta-en-prados-del-este-cucuta/192159125,3 Habs.,3 Baños,92 m²,$ 370.000.000,2025-07-20 12:45:07.607561,Usado,"Prados del Este, Cúcuta, Norte de santander"
P1753033509_5,https://www.fincaraiz.com.co/casa-en-venta-en-sevilla-cucuta/11082075,5 Habs.,2 Baños,130 m²,$ 220.000.000,2025-07-20 12:45:09.226410,Usado,"Sevilla, Cúcuta, Norte de santander"
P1753033511_6,https://www.fincaraiz.com.co/casa-en-venta-en-la-riviera-cucuta/191245017,4 Habs.,4 Baños,257 m²,$ 850.000.000,2025-07-20 12:45:11.037839,Usado,"La riviera, Cúcuta, Norte de santander"
P1753033513_7,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192133463,4 Habs.,5 Baños,309 m²,$ 900.000.000,2025-07-20 12:45:13.323988,Usado,"Cúcuta, Norte de santander"
P1753033514_8,https://www.fincaraiz.com.co/casa-en-venta-en-gualanday-cucuta/192159332,4 Habs.,3 Baños,114 m²,$ 240.000.000,2025-07-20 12:45:14.617085,Usado,"Gualanday, Cúcuta, Norte de santander"
P1753033516_9,https://www.fincaraiz.com.co/casa-en-venta-en-prados-del-este-cucuta/192158137,4 Habs.,5 Baños,270 m²,$ 400.000.000,2025-07-20 12:45:16.373388,Usado,"Prados del Este, Cúcuta, Norte de santander"
P1753033518_10,https://www.fincaraiz.com.co/casa-en-venta-en-san-eduardo-cucuta/192158749,6 Habs.,3 Baños,193 m²,$ 350.000.000,2025-07-20 12:45:18.260818,Usado,"San eduardo, Cúcuta, Norte de santander"
P1753033520_11,https://www.fincaraiz.com.co/casa-en-venta-en-caobos-cucuta/191877802,5 Habs.,6 Baños,960 m²,$ 2.000.000.000,2025-07-20 12:45:20.026980,Usado,"Caobos, Cúcuta, Norte de santander"
P1753033521_12,https://www.fincaraiz.com.co/casa-en-venta-en-chia/191855927,4 Habs.,4 Baños,332 m²,$ 1.700.000.000,2025-07-20 12:45:21.874066,Usado,"Chía, Norte de santander"
P1753033523_13,https://www.fincaraiz.com.co/casa-en-venta-en-el-rosal-cucuta/192159610,6 Habs.,4 Baños,170 m²,$ 490.000.000,2025-07-20 12:45:23.811449,Usado,"El rosal, Cúcuta, Norte de santander"
P1753033525_14,https://www.fincaraiz.com.co/casa-en-venta-en-sevilla-cucuta/192159766,3 Habs.,2 Baños,131 m²,$ 370.000.000,2025-07-20 12:45:25.732869,Usado,"Sevilla, Cúcuta, Norte de santander"
P1753033527_15,https://www.fincaraiz.com.co/casa-en-venta-en-nuevo-escobal-cucuta/192159004,11 Habs.,3 Baños,116 m²,$ 300.000.000,2025-07-20 12:45:27.665157,Usado,"Nuevo escobal, Cúcuta, Norte de santander"
